DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update
2005-0487-IDN,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),GLIDE:LS-2005-000155,,IDN,Indonesia,South-eastern Asia,Asia,Kota Padang district (Sumatera Barat province),Heavy rains,,No,No,No,,,,,,,2005,9,2,2005,9,2,25,10,,,10,,,,,,,62.25647853,"[{""adm2_code"":18204,""adm2_name"":""Kota Padang""}]","[{""gid_2"":""IDN.30.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Padang""}]",2005-09-12,2025-12-20
2006-0328-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,Kota Baru district (Kalimantan Selatan province),,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2006,6,24,2006,6,26,41,,,,,,,,,,,64.26483222,"[{""adm2_code"":18114,""adm2_name"":""Kota Baru""}]","[{""gid_2"":""IDN.13.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kota Baru""}]",2007-01-06,2025-12-20
2010-0533-IDN,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),GLIDE:LS-2010-000233,,IDN,Indonesia,South-eastern Asia,Asia,Sulawesi Tengah province,Heavy rains and human work,,No,No,No,,,,,,,2010,10,12,2010,10,12,13,18,,,18,,,,,,,69.51329329,"[{""adm1_code"":1532,""adm1_name"":""Sulawesi Tengah""}]","[{""gid_1"":""IDN.27_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Sulawesi Tengah""}]",2010-10-13,2025-12-20
2011-0493-IDN,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),GLIDE:LS-2011-000179,,IDN,Indonesia,South-eastern Asia,Asia,Nias district (Sumatera Utara province),Heavy rains,,No,No,No,,,,,,,2011,11,30,2011,11,30,34,,,,,,,,,,,71.70772361,"[{""adm2_code"":73812,""adm2_name"":""Nias""}]","[{""gid_2"":""IDN.32.17_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Nias Barat""},{""gid_2"":""IDN.32.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Nias Utara""},{""gid_2"":""IDN.32.20_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Nias""},{""gid_2"":""IDN.32.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Gunungsitoli""}]",2011-12-07,2025-12-20
2014-0483-IDN,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),GLIDE:LS-2014-000164,,IDN,Indonesia,South-eastern Asia,Asia,"Sampang village (Jemblung area, Banjarnegara district, Jawa Tengah province)",Torrential rains,,No,No,No,,,,,,,2014,12,12,2014,12,20,108,,1900,2000,3900,,,,,,,75.46845568,"[{""adm2_code"":18030,""adm2_name"":""Banjarnegara""}]","[{""gid_2"":""IDN.10.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Banjarnegara""}]",2014-12-16,2025-12-20
2014-0034-IDN,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IDN,Indonesia,South-eastern Asia,Asia,Jombang district (Jawa Timur province),Heavy rains,,No,No,No,,,,,,,2014,1,28,2014,1,28,19,,,,,,,,,,,75.46845568,"[{""adm2_code"":18071,""adm2_name"":""Jombang""}]","[{""gid_2"":""IDN.11.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Jombang""}]",2014-01-28,2025-12-20
2015-0524-IDN,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IDN,Indonesia,South-eastern Asia,Asia,"Lebong Tandai (Bengkulu Utara district, Bengkulu province)",,,No,No,No,,,,,,,2015,12,3,2015,12,3,20,,,105,105,,,,,,,75.55797677,"[{""adm2_code"":73654,""adm2_name"":""Bengkulu Utara""}]","[{""gid_2"":""IDN.5.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Bengkulu Tengah""},{""gid_2"":""IDN.5.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Bengkulu Utara""}]",2015-12-03,2025-12-20
2016-0040-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4330|GLIDE:FL-2016-000009,,IDN,Indonesia,South-eastern Asia,Asia,"Dharmasraya, Kota Payakumbuh, Kota Solok, Limapuluhkoto, Kota Pasaman, Solok, Solok Selatan, Sawahlunto/sijunjung districts (Sumatera Barat province), Bangka Tengah, Bangka Selatan, Bangka Barat, Kota Pangkalpinang districts (Bangka Belitung province), Kampar, Rokanhulu districts (Riau province), Aceh Besar, Aceh Utara, Pidie (Nangroe Aceh Darussalam province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,235818.78,Km2,-2.465,103.352,"Rokan, Muara Bandar, Palis, Batang Lubuh, Batang Bangko, Batng Suliti, Batang Lolo rivers",2016,2,7,2016,2,12,8,,80313,,80313,,,,,2000,2614,76.5112162,"[{""adm2_code"":17960,""adm2_name"":""Aceh Besar""},{""adm2_code"":17968,""adm2_name"":""Pidie""},{""adm2_code"":73632,""adm2_name"":""Aceh Utara""},{""adm2_code"":18207,""adm2_name"":""Kota Solok""},{""adm2_code"":18208,""adm2_name"":""Limapuluhkoto""},{""adm2_code"":73670,""adm2_name"":""Dharmasraya""},{""adm2_code"":73745,""adm2_name"":""Kota Pasaman""},{""adm2_code"":73746,""adm2_name"":""Kota Payakumbuh""},{""adm2_code"":73842,""adm2_name"":""Sawahlunto/sijunjung""},{""adm2_code"":73852,""adm2_name"":""Solok Selatan""},{""adm2_code"":73853,""adm2_name"":""Solok""},{""adm2_code"":73639,""adm2_name"":""Bangka Barat""},{""adm2_code"":73640,""adm2_name"":""Bangka Selatan""},{""adm2_code"":73641,""adm2_name"":""Bangka Tengah""},{""adm2_code"":73742,""adm2_name"":""Kota Pangkalpinang""},{""adm2_code"":73688,""adm2_name"":""Kampar""},{""adm2_code"":73836,""adm2_name"":""Rokanhulu""}]","[{""gid_2"":""IDN.1.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Aceh Utara""},{""gid_2"":""IDN.1.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Pidie Jaya""},{""gid_2"":""IDN.1.20_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Pidie""},{""gid_2"":""IDN.1.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Aceh Besar""},{""gid_2"":""IDN.24.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Rokan Hulu""},{""gid_2"":""IDN.24.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kampar""},{""gid_2"":""IDN.3.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bangka Barat""},{""gid_2"":""IDN.3.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bangka Selatan""},{""gid_2"":""IDN.3.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bangka Tengah""},{""gid_2"":""IDN.3.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Pangkalpinang""},{""gid_2"":""IDN.30.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Pasaman""},{""gid_2"":""IDN.30.14_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Payakumbuh""},{""gid_2"":""IDN.30.17_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sijunjung""},{""gid_2"":""IDN.30.18_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Solok Selatan""},{""gid_2"":""IDN.30.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Solok""},{""gid_2"":""IDN.30.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Dharmasraya""},{""gid_2"":""IDN.30.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""bufhaus2"",""name_2"":""Kota Solok""},{""gid_2"":""IDN.30.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Lima Puluh Kota""}]",2016-02-19,2025-12-20
2016-0057-MYS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MYS,Malaysia,South-eastern Asia,Asia,"Johor, Melaka, Negri Sembilan, Sarawak province",Heavy monsoonal rains,,No,No,No,,,Km2,,,,2016,2,19,2016,2,24,,,6000,,6000,,,,,,,76.5112162,"[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1902,""adm1_name"":""Sarawak""},{""adm2_code"":37376,""adm2_name"":""Seremban""}]","[{""gid_1"":""MYS.14_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Sarawak""},{""gid_1"":""MYS.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Johor""},{""gid_1"":""MYS.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Melaka""},{""gid_2"":""MYS.7.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Seremban""}]",2016-03-15,2025-12-20
2013-0022-IDN,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IDN,Indonesia,South-eastern Asia,Asia,"Agam district (Sumatera Barat province), Kerinci district (Jambi province)",Heavy rains,,No,No,No,,,,,,,2013,1,25,2013,1,27,21,3,,,3,,,,,,,74.26372907,"[{""adm2_code"":18002,""adm2_name"":""Kerinci""},{""adm2_code"":18202,""adm2_name"":""Agam""}]","[{""gid_2"":""IDN.30.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Agam""},{""gid_2"":""IDN.8.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Kerinci""},{""gid_2"":""IDN.8.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Sungai Penuh""}]",2013-02-25,2025-12-20
