DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update
2016-0092-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Sarolangun district (Jambi province), Cianjur district (Jawa Barat province), Tanahbumbu district (Kalimantan Selatan province), Dki Jakarta, Lampung, Sumatera Selatan, Kalimantan Barat, Sulawesi Selatan provinces",Monsoonal rain,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2016,3,7,2016,3,8,6,,12500,,12500,,,,,,,76.5112162,"[{""adm1_code"":1516,""adm1_name"":""Dki Jakarta""},{""adm1_code"":1522,""adm1_name"":""Kalimantan Barat""},{""adm1_code"":1526,""adm1_name"":""Lampung""},{""adm1_code"":73620,""adm1_name"":""Sulawesi Selatan""},{""adm1_code"":73622,""adm1_name"":""Sumatera Selatan""},{""adm2_code"":73841,""adm2_name"":""Sarolangun""},{""adm2_code"":73860,""adm2_name"":""Tanahbumbu""},{""adm2_code"":18010,""adm2_name"":""Cianjur""}]","[{""gid_1"":""IDN.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Kalimantan Barat""},{""gid_1"":""IDN.17_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Lampung""},{""gid_1"":""IDN.26_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Sulawesi Selatan""},{""gid_1"":""IDN.31_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Sumatera Selatan""},{""gid_1"":""IDN.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Jakarta Raya""},{""gid_2"":""IDN.13.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Tanah Bumbu""},{""gid_2"":""IDN.8.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sarolangun""},{""gid_2"":""IDN.9.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Cianjur""}]",2016-04-11,2025-12-20
2016-0156-IDN,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),GLIDE:LS-2016-000051,,IDN,Indonesia,South-eastern Asia,Asia,"Sibolangit (Deli Serdang district, Sumatera Utara province, Sumatra Isl.)",Heavy rains,,No,No,No,,,,,,,2016,5,15,2016,5,15,15,,,,,,,,,,,76.5112162,"[{""adm2_code"":73669,""adm2_name"":""Deli Serdang""}]","[{""gid_2"":""IDN.32.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Deli Serdang""}]",2016-05-19,2025-12-20
2016-0216-IDN,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),DFO:4364|GLIDE:FF-2016-000062,,IDN,Indonesia,South-eastern Asia,Asia,"Banjarnegara, Purworejo (Karangrejo Loano), Kebumen, Sukoharjo, Banyumas, Rembang, Karanganyar, Wonogiri, Wonosobo, Surakarta (Jawa Tengah province, Java Isl.), Padang City (Koto Tangah, Lubuk Bengalung, Nanggalo, Padang Selatan, Padang Burat, Bungus Teluk Kabung, Padang Timur; Lubuk Buaya, Tunggul Hitam, Pangambiran, Ampalu, Banda Gadung, Maransi, Parang Jambu, Jondul, Seberang Padang, Pampang, Seberang Palinggam, Lolong, Bungus and Marapalan villages) (Sumatera Barat)",Torrential rains,Flood,No,No,No,,,,,,Bengawan Solo River,2016,6,17,2016,6,21,62,,,,,,,,,25000,32675,76.5112162,"[{""adm2_code"":18030,""adm2_name"":""Banjarnegara""},{""adm2_code"":18031,""adm2_name"":""Banyumas""},{""adm2_code"":18040,""adm2_name"":""Karanganyar""},{""adm2_code"":18041,""adm2_name"":""Kebumen""},{""adm2_code"":18047,""adm2_name"":""Kota Surakarta""},{""adm2_code"":18055,""adm2_name"":""Purworejo""},{""adm2_code"":18056,""adm2_name"":""Rembang""},{""adm2_code"":18059,""adm2_name"":""Sukoharjo""},{""adm2_code"":18062,""adm2_name"":""Wonogiri""},{""adm2_code"":18063,""adm2_name"":""Wonosobo""},{""adm2_code"":18204,""adm2_name"":""Kota Padang""}]","[{""gid_2"":""IDN.10.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Karanganyar""},{""gid_2"":""IDN.10.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kebumen""},{""gid_2"":""IDN.10.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Banjarnegara""},{""gid_2"":""IDN.10.25_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Purworejo""},{""gid_2"":""IDN.10.26_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Rembang""},{""gid_2"":""IDN.10.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Banyumas""},{""gid_2"":""IDN.10.30_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sukoharjo""},{""gid_2"":""IDN.10.31_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Surakarta""},{""gid_2"":""IDN.10.35_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Wonogiri""},{""gid_2"":""IDN.10.36_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Wonosobo""},{""gid_2"":""IDN.30.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Padang""}]",2016-07-06,2025-12-20
2016-0425-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4413,,IDN,Indonesia,South-eastern Asia,Asia,Gorontalo province (North Sulawesi region),Heavy rain,"Slide (land, mud, snow, rock)",No,No,No,,11225.49,Km2,0.649,123.245,,2016,10,23,2016,11,10,2,,4500,,4500,,,,,,,76.5112162,"[{""adm1_code"":73611,""adm1_name"":""Gorontalo""}]","[{""gid_1"":""IDN.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Gorontalo""}]",2016-11-21,2025-12-20
2016-0527-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Bima city, East Rasanae, Mpuda, Raba, Rasanae West, Asakota districts (West Nusa Tenggara province)",Torrential rain,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,Paruga River,2016,12,21,2016,12,26,,,105753,,105753,,,,,74000,96718,76.5112162,"[{""adm2_code"":73656,""adm2_name"":""Bima""},{""adm2_code"":73713,""adm2_name"":""Kota Bima""}]","[{""gid_2"":""IDN.20.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bima""},{""gid_2"":""IDN.20.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kota Bima""}]",2017-01-19,2025-12-20
2017-0068-IDN,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IDN,Indonesia,South-eastern Asia,Asia,"Kintamani district (Bali); Java, Lombok, and Sumbawa.",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,,,,,2017,2,9,2017,2,12,12,,50500,,50500,,,,,2000,2559,78.14100176,"[{""adm1_code"":1513,""adm1_name"":""Bali""},{""adm1_code"":1515,""adm1_name"":""Daerah Istimewa Yogyakarta""},{""adm1_code"":1516,""adm1_name"":""Dki Jakarta""},{""adm1_code"":1520,""adm1_name"":""Jawa Tengah""},{""adm1_code"":1521,""adm1_name"":""Jawa Timur""},{""adm1_code"":1528,""adm1_name"":""Nusatenggara Barat""},{""adm1_code"":73610,""adm1_name"":""Banten""},{""adm1_code"":73613,""adm1_name"":""Jawa Barat""}]","[{""gid_1"":""IDN.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Jawa Tengah""},{""gid_1"":""IDN.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Jawa Timur""},{""gid_1"":""IDN.20_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Nusa Tenggara Barat""},{""gid_1"":""IDN.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Bali""},{""gid_1"":""IDN.33_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Yogyakarta""},{""gid_1"":""IDN.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Banten""},{""gid_1"":""IDN.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Jakarta Raya""},{""gid_1"":""IDN.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Jawa Barat""}]",2017-03-03,2025-12-20
2017-0224-MYS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4443,,MYS,Malaysia,South-eastern Asia,Asia,"7 states in Peninsular Malaysia (Kelantan, Terengganu, Johor, Pahang, Malacca, Selangor, Perak, Sabah)",Heavy rains,,No,No,No,,78809.78,Km2,3.932,102.461,,2017,1,23,2017,2,7,,,5481,,5481,,,,,,,78.14100176,"[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1901,""adm1_name"":""Sabah""},{""adm1_code"":1903,""adm1_name"":""Selangor""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]","[{""gid_1"":""MYS.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Sabah""},{""gid_1"":""MYS.15_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Selangor""},{""gid_1"":""MYS.16_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Trengganu""},{""gid_1"":""MYS.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Johor""},{""gid_1"":""MYS.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Kelantan""},{""gid_1"":""MYS.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Melaka""},{""gid_1"":""MYS.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Pahang""},{""gid_1"":""MYS.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Perak""}]",2017-06-28,2025-12-20
2017-0477-MYS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4534|GLIDE:FL-2017-000166,,MYS,Malaysia,South-eastern Asia,Asia,"Penang, Kedah, Perak",Heavy rain,,No,No,No,,37944,Km2,5.247,101.026,"Sungai Dondang, Sungai Pinang",2017,11,3,2017,11,8,7,,3500,,3500,,,,,,,78.14100176,"[{""adm1_code"":1892,""adm1_name"":""Kedah""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1900,""adm1_name"":""Pulau Pinang""}]","[{""gid_1"":""MYS.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Pulau Pinang""},{""gid_1"":""MYS.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Kedah""},{""gid_1"":""MYS.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Perak""}]",2017-11-23,2025-12-20
2018-0056-IDN,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IDN,Indonesia,South-eastern Asia,Asia,"Pasir Panjang, Purbalingga, Cirebon, Cepu District, Blora Regency, Wanarej, Cilacap Regency, Bandung, Pangandaran, Brebes district (Java)",Heavy rains,Flood,No,No,No,,,,,,,2018,2,22,2018,2,22,15,14,50000,,50014,,,,,,,80.04959626,"[{""adm2_code"":18033,""adm2_name"":""Blora""},{""adm2_code"":18035,""adm2_name"":""Brebes""},{""adm2_code"":18036,""adm2_name"":""Cilacap""},{""adm2_code"":18054,""adm2_name"":""Purbalingga""},{""adm2_code"":73823,""adm2_name"":""Pasir""},{""adm2_code"":18011,""adm2_name"":""Cirebon""},{""adm2_code"":18015,""adm2_name"":""Kota Bandung""},{""adm2_code"":18017,""adm2_name"":""Kota Cirebon""},{""adm2_code"":73636,""adm2_name"":""Bandung""},{""adm2_code"":73667,""adm2_name"":""Ciamis""}]","[{""gid_2"":""IDN.10.24_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Purbalingga""},{""gid_2"":""IDN.10.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Blora""},{""gid_2"":""IDN.10.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Brebes""},{""gid_2"":""IDN.10.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Cilacap""},{""gid_2"":""IDN.34.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Paser""},{""gid_2"":""IDN.9.14_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kota Bandung""},{""gid_2"":""IDN.9.17_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kota Cirebon""},{""gid_2"":""IDN.9.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Bandung Barat""},{""gid_2"":""IDN.9.27_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Waduk Cirata""},{""gid_2"":""IDN.9.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Bandung""},{""gid_2"":""IDN.9.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ciamis""},{""gid_2"":""IDN.9.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Cimahi""},{""gid_2"":""IDN.9.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Cirebon""}]",2018-02-27,2025-12-20
2018-0472-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Bogor (West Java); East Java, West Sumatra, Riau, Bali",,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2018,12,6,2018,12,10,9,,5463,,5463,,,,,,,80.04959626,"[{""adm1_code"":1513,""adm1_name"":""Bali""},{""adm1_code"":1521,""adm1_name"":""Jawa Timur""},{""adm1_code"":1535,""adm1_name"":""Sumatera Barat""},{""adm1_code"":73618,""adm1_name"":""Riau""},{""adm2_code"":18008,""adm2_name"":""Bogor""}]","[{""gid_1"":""IDN.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Jawa Timur""},{""gid_1"":""IDN.24_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Riau""},{""gid_1"":""IDN.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Bali""},{""gid_1"":""IDN.30_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Sumatera Barat""},{""gid_2"":""IDN.9.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bogor""}]",2019-01-22,2025-12-20
2019-0117-IDN,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IDN,Indonesia,South-eastern Asia,Asia,Yogyakarta region,Heavy rains,,No,No,No,,,,,,,2019,3,20,2019,3,20,5,,860,,860,,,,,,,81.50030941,"[{""adm1_code"":1515,""adm1_name"":""Daerah Istimewa Yogyakarta""}]","[{""gid_1"":""IDN.33_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Yogyakarta""}]",2019-03-20,2025-12-20
2019-0226-MYS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MYS,Malaysia,South-eastern Asia,Asia,"Belaga district (Kapit division, Northern and central Sarawak State)",Heavy rains,,No,No,No,,,Km2,,,,2019,6,2,2019,6,6,,,1000,,1000,,,,,,,81.50030941,"[{""adm2_code"":37428,""adm2_name"":""Belaga""}]","[{""gid_2"":""MYS.14.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Belaga""}]",2019-06-17,2025-12-20
2019-0523-MYS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MYS,Malaysia,South-eastern Asia,Asia,Peninsular malaysia,,,No,No,No,,,Km2,,,,2019,10,26,2019,10,27,,,2412,,2412,,,,,,,81.50030941,"[{""adm1_code"":1891,""adm1_name"":""Johor""},{""adm1_code"":1892,""adm1_name"":""Kedah""},{""adm1_code"":1893,""adm1_name"":""Kelantan""},{""adm1_code"":1894,""adm1_name"":""Kuala Lumpur""},{""adm1_code"":1895,""adm1_name"":""Melaka""},{""adm1_code"":1896,""adm1_name"":""Negeri Sembilan""},{""adm1_code"":1897,""adm1_name"":""Pahang""},{""adm1_code"":1898,""adm1_name"":""Perak""},{""adm1_code"":1899,""adm1_name"":""Perlis""},{""adm1_code"":1900,""adm1_name"":""Pulau Pinang""},{""adm1_code"":1903,""adm1_name"":""Selangor""},{""adm1_code"":1904,""adm1_name"":""Terengganu""}]","[{""gid_1"":""MYS.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Pulau Pinang""},{""gid_1"":""MYS.15_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Selangor""},{""gid_1"":""MYS.16_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Trengganu""},{""gid_1"":""MYS.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Johor""},{""gid_1"":""MYS.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Kedah""},{""gid_1"":""MYS.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Kelantan""},{""gid_1"":""MYS.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Kuala Lumpur""},{""gid_1"":""MYS.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Melaka""},{""gid_1"":""MYS.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Negeri Sembilan""},{""gid_1"":""MYS.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Pahang""},{""gid_1"":""MYS.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Perak""},{""gid_2"":""MYS.10.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Perlis""}]",2019-10-29,2025-12-20
2020-0532-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Central Java, Aceh Provinces (north-western Sumatra)",Heavy rains,,No,No,No,,,Km2,,,,2020,12,2,2020,12,10,5,,110000,,110000,,,,,,,82.50568385,"[{""adm1_code"":1512,""adm1_name"":""Nangroe Aceh Darussalam""},{""adm1_code"":1520,""adm1_name"":""Jawa Tengah""}]","[{""gid_1"":""IDN.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Jawa Tengah""},{""gid_1"":""IDN.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Aceh""}]",2020-12-08,2025-12-20
2020-0036-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,Central Tapanuli Regency (North Sumatra Province),Heavy rains,,No,No,Yes,,,Km2,,,,2020,1,28,2020,1,29,9,22,2100,,2122,,,,,,,82.50568385,"[{""adm2_code"":73865,""adm2_name"":""Tapanuli Tengah""}]","[{""gid_2"":""IDN.32.31_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Tapanuli Tengah""}]",2020-01-29,2025-12-20
2020-0121-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Dayuehkolot, Baleendah, Bandung, Bogor Regencies , West Java Island (West Java Province)",Heavy rains,,No,No,No,,,Km2,,,,2020,3,29,2020,4,1,1,,56488,,56488,,,,,,,82.50568385,"[{""adm2_code"":18008,""adm2_name"":""Bogor""},{""adm2_code"":18015,""adm2_name"":""Kota Bandung""},{""adm2_code"":18016,""adm2_name"":""Kota Bogor""},{""adm2_code"":73636,""adm2_name"":""Bandung""}]","[{""gid_2"":""IDN.9.14_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kota Bandung""},{""gid_2"":""IDN.9.16_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kota Bogor""},{""gid_2"":""IDN.9.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Bandung Barat""},{""gid_2"":""IDN.9.27_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Waduk Cirata""},{""gid_2"":""IDN.9.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Bandung""},{""gid_2"":""IDN.9.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bogor""},{""gid_2"":""IDN.9.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Cimahi""}]",2020-04-01,2025-12-20
2020-0151-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Dayeuhkolot, Baleendah, Bojongsoang districts (Bandung Regency ,West Java Province)",Heavy rains,,No,No,No,,,Km2,,,,2020,4,30,2020,5,5,2,,110000,,110000,,,,,,,82.50568385,"[{""adm2_code"":73636,""adm2_name"":""Bandung""}]","[{""gid_2"":""IDN.9.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Bandung Barat""},{""gid_2"":""IDN.9.27_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Waduk Cirata""},{""gid_2"":""IDN.9.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Bandung""},{""gid_2"":""IDN.9.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle2_2"",""name_2"":""Cimahi""}]",2020-05-05,2025-12-20
2020-0161-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"West Java, Central Kalimantan, northern Sumatra Islands, Banten, Bengkulu, and East Kalimantan Provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2020,4,20,2020,4,28,,,2000,,2000,,,,,,,82.50568385,"[{""adm1_code"":1514,""adm1_name"":""Bengkulu""},{""adm1_code"":1524,""adm1_name"":""Kalimantan Tengah""},{""adm1_code"":1525,""adm1_name"":""Kalimantan Timur""},{""adm1_code"":1537,""adm1_name"":""Sumatera Utara""},{""adm1_code"":73610,""adm1_name"":""Banten""},{""adm1_code"":73613,""adm1_name"":""Jawa Barat""}]","[{""gid_1"":""IDN.14_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Kalimantan Tengah""},{""gid_1"":""IDN.32_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Sumatera Utara""},{""gid_1"":""IDN.34_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Kalimantan Timur""},{""gid_1"":""IDN.35_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_1"",""name_1"":""Kalimantan Utara""},{""gid_1"":""IDN.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Banten""},{""gid_1"":""IDN.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Bengkulu""},{""gid_1"":""IDN.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Jawa Barat""}]",2020-05-06,2025-12-20
2020-0185-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Pasangkayu, Polewali Mandar Districts (West Sulawesi Province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2020,5,8,2020,5,8,7,,3805,,3805,,,,,,,82.50568385,"[{""adm2_code"":73785,""adm2_name"":""Mamuju Utara""},{""adm2_code"":73828,""adm2_name"":""Polewalimamasa""}]","[{""gid_2"":""IDN.25.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Mamuju Utara""},{""gid_2"":""IDN.25.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Polewali Mandar""}]",2020-05-11,2025-12-20
